date_key,full_date,year,quarter,month,month_name,week,day_name
20150101,2015-01-01,2015,1,1,January,1,Thursday
20150102,2015-01-02,2015,1,1,January,1,Friday
20150103,2015-01-03,2015,1,1,January,1,Saturday
20150104,2015-01-04,2015,1,1,January,1,Sunday
20150105,2015-01-05,2015,1,1,January,2,Monday
20150106,2015-01-06,2015,1,1,January,2,Tuesday
20150107,2015-01-07,2015,1,1,January,2,Wednesday
20150108,2015-01-08,2015,1,1,January,2,Thursday
20150109,2015-01-09,2015,1,1,January,2,Friday
20150110,2015-01-10,2015,1,1,January,2,Saturday
20150111,2015-01-11,2015,1,1,January,2,Sunday
20150112,2015-01-12,2015,1,1,January,3,Monday
20150113,2015-01-13,2015,1,1,January,3,Tuesday
20150114,2015-01-14,2015,1,1,January,3,Wednesday
20150115,2015-01-15,2015,1,1,January,3,Thursday
20150116,2015-01-16,2015,1,1,January,3,Friday
20150117,2015-01-17,2015,1,1,January,3,Saturday
20150118,2015-01-18,2015,1,1,January,3,Sunday
20150119,2015-01-19,2015,1,1,January,4,Monday
20150120,2015-01-20,2015,1,1,January,4,Tuesday
20150121,2015-01-21,2015,1,1,January,4,Wednesday
20150122,2015-01-22,2015,1,1,January,4,Thursday
20150123,2015-01-23,2015,1,1,January,4,Friday
20150124,2015-01-24,2015,1,1,January,4,Saturday
20150125,2015-01-25,2015,1,1,January,4,Sunday
20150126,2015-01-26,2015,1,1,January,5,Monday
20150127,2015-01-27,2015,1,1,January,5,Tuesday
20150128,2015-01-28,2015,1,1,January,5,Wednesday
20150129,2015-01-29,2015,1,1,January,5,Thursday
20150130,2015-01-30,2015,1,1,January,5,Friday
20150131,2015-01-31,2015,1,1,January,5,Saturday
20150201,2015-02-01,2015,1,2,February,5,Sunday
20150202,2015-02-02,2015,1,2,February,6,Monday
20150203,2015-02-03,2015,1,2,February,6,Tuesday
20150204,2015-02-04,2015,1,2,February,6,Wednesday
20150205,2015-02-05,2015,1,2,February,6,Thursday
20150206,2015-02-06,2015,1,2,February,6,Friday
20150207,2015-02-07,2015,1,2,February,6,Saturday
20150208,2015-02-08,2015,1,2,February,6,Sunday
20150209,2015-02-09,2015,1,2,February,7,Monday
20150210,2015-02-10,2015,1,2,February,7,Tuesday
20150211,2015-02-11,2015,1,2,February,7,Wednesday
20150212,2015-02-12,2015,1,2,February,7,Thursday
20150213,2015-02-13,2015,1,2,February,7,Friday
20150214,2015-02-14,2015,1,2,February,7,Saturday
20150215,2015-02-15,2015,1,2,February,7,Sunday
20150216,2015-02-16,2015,1,2,February,8,Monday
20150217,2015-02-17,2015,1,2,February,8,Tuesday
20150218,2015-02-18,2015,1,2,February,8,Wednesday
20150219,2015-02-19,2015,1,2,February,8,Thursday
20150220,2015-02-20,2015,1,2,February,8,Friday
20150221,2015-02-21,2015,1,2,February,8,Saturday
20150222,2015-02-22,2015,1,2,February,8,Sunday
20150223,2015-02-23,2015,1,2,February,9,Monday
20150224,2015-02-24,2015,1,2,February,9,Tuesday
20150225,2015-02-25,2015,1,2,February,9,Wednesday
20150226,2015-02-26,2015,1,2,February,9,Thursday
20150227,2015-02-27,2015,1,2,February,9,Friday
20150228,2015-02-28,2015,1,2,February,9,Saturday
20150301,2015-03-01,2015,1,3,March,9,Sunday
20150302,2015-03-02,2015,1,3,March,10,Monday
20150303,2015-03-03,2015,1,3,March,10,Tuesday
20150304,2015-03-04,2015,1,3,March,10,Wednesday
20150305,2015-03-05,2015,1,3,March,10,Thursday
20150306,2015-03-06,2015,1,3,March,10,Friday
20150307,2015-03-07,2015,1,3,March,10,Saturday
20150308,2015-03-08,2015,1,3,March,10,Sunday
20150309,2015-03-09,2015,1,3,March,11,Monday
20150310,2015-03-10,2015,1,3,March,11,Tuesday
20150311,2015-03-11,2015,1,3,March,11,Wednesday
20150312,2015-03-12,2015,1,3,March,11,Thursday
20150313,2015-03-13,2015,1,3,March,11,Friday
20150314,2015-03-14,2015,1,3,March,11,Saturday
20150315,2015-03-15,2015,1,3,March,11,Sunday
20150316,2015-03-16,2015,1,3,March,12,Monday
20150317,2015-03-17,2015,1,3,March,12,Tuesday
20150318,2015-03-18,2015,1,3,March,12,Wednesday
20150319,2015-03-19,2015,1,3,March,12,Thursday
20150320,2015-03-20,2015,1,3,March,12,Friday
20150321,2015-03-21,2015,1,3,March,12,Saturday
20150322,2015-03-22,2015,1,3,March,12,Sunday
20150323,2015-03-23,2015,1,3,March,13,Monday
20150324,2015-03-24,2015,1,3,March,13,Tuesday
20150325,2015-03-25,2015,1,3,March,13,Wednesday
