order_number,line_item,order_date_key,stock_date_key,customer_key,product_key,territory_key,quantity
SO45080,1,20150101,20010921,14657,332,1,1
SO45079,1,20150101,20011205,29255,312,4,1
SO45082,1,20150101,20011029,11455,350,9,1
SO45081,1,20150101,20011116,26782,338,6,1
SO45083,1,20150102,20011215,14947,312,10,1
SO45084,1,20150102,20011012,29143,310,4,1
SO45086,1,20150102,20011218,18747,314,9,1
SO45085,1,20150102,20011009,18746,312,9,1
SO45093,1,20150103,20011003,18906,312,9,1
SO45090,1,20150103,20010929,29170,310,4,1
SO45088,1,20150103,20011211,11398,345,10,1
SO45092,1,20150103,20011024,18899,313,9,1
SO45089,1,20150103,20011216,25977,351,4,1
SO45091,1,20150103,20011026,18909,314,9,1
SO45087,1,20150103,20010911,11388,350,10,1
SO45094,1,20150103,20010911,22785,310,6,1
SO45096,1,20150104,20011030,12483,312,7,1
SO45097,1,20150104,20011030,29151,313,4,1
SO45098,1,20150104,20010915,29167,310,1,1
SO45095,1,20150104,20011207,11394,344,10,1
SO45099,1,20150104,20011220,29174,312,1,1
SO45101,1,20150105,20010919,22748,313,6,1
SO45100,1,20150105,20011121,19428,326,8,1
SO45102,1,20150105,20011124,29274,310,4,1
SO45104,1,20150106,20011017,29142,310,4,1
SO45108,1,20150106,20011001,22975,310,6,1
SO45105,1,20150106,20011121,22765,312,6,1
SO45103,1,20150106,20010924,29140,310,1,1
SO45106,1,20150106,20011112,19987,348,6,1
SO45107,1,20150106,20011214,29275,312,4,1
SO45109,1,20150107,20011105,14937,311,10,1
SO45112,1,20150107,20010917,20558,324,10,1
SO45111,1,20150107,20011109,25713,326,9,1
SO45110,1,20150107,20011205,18710,311,9,1
SO45119,1,20150108,20011214,18740,314,9,1
SO45117,1,20150108,20011121,14727,342,1,1
SO45116,1,20150108,20011124,29204,311,1,1
SO45114,1,20150108,20011101,29146,310,1,1
SO45115,1,20150108,20010920,25984,348,4,1
SO45118,1,20150108,20011029,18722,314,9,1
SO45113,1,20150108,20011111,29141,313,4,1
